Date,ID,Location,User,Text,Source
6/7/12 12:31,210710632226500608,"Washington, DC",amy_liuw,"Looking forward to #cgiamerica and helping advance commitments in #usmfg, #exports, and innovation",Twitter for BlackBerryÂ®
6/7/12 13:49,210730235065405442,"Washington, DC",amy_liuw,#CGIAmerica session on women: lack of women in STEM fields starts in preschool w/ gender bias in educ toys (LEGOs 4 girls decorate not bld),Twitter for BlackBerryÂ®
6/7/12 15:20,210753177182674945,"Washington, DC",amy_liuw,"Pres Clinton at #CGIAmerica: applauds Mayor Emanuel's local infrastructure bank as an action to replicate; CGI helps ""cities on the move""",Twitter for BlackBerryÂ®
6/7/12 15:48,210760170987458562,"Washington, DC",amy_liuw,"@FareedZakaria: a person with a power point rarely has power or a point. Time to replace PPT with visuals to enhance message  #CGIAMERICA""",Twitter for BlackBerryÂ®
6/7/12 15:54,210761610040590336,"Washington, DC",amy_liuw,@fareedzakaria: Our policies must facilitate travel to US. Every tourist is a walking stimulus program. #cgiamerica #exports @ExportGov,Twitter for BlackBerryÂ®
6/7/12 16:19,210768058657157120,"Washington, DC",amy_liuw,Joyce Fdn Pres Alberding: we are a regional foundation bc we need to think regionally to solve nation's problems. @bruce_katz #cgiamerica,Twitter for BlackBerryÂ®
6/7/12 16:28,210770120040132610,"Washington, DC",amy_liuw,"Alberding of @joycefdn: We must empower students w/ ""economically valuable certificates &amp; degrees""; comm colleges key @berubea1 #cgiamerica",Twitter for BlackBerryÂ®
6/7/12 16:44,210774141316505601,"Washington, DC",amy_liuw,"CEO of M&amp;T Bank: As comm bank, we offer SBA loans, but such loans are highly cumbersome; must be simplify forms and process #cgiamerica",Twitter for BlackBerryÂ®
6/7/12 22:22,210859230721347585,"Washington, DC",amy_liuw,"Gov @BillHaslam: We need to make post-secondary educ more affordable, more rigorous, and more relevant (to industry) #cgiamerica @MarkMuro1",Twitter for BlackBerryÂ®
6/19/12 13:43,215077239950295041,"Washington, DC",amy_liuw,"MT @AdieTomer: trade/logistics drives Miami economy, over 14% of GMP.  But can ports move more made-in-Miami goods and svcs? #globalcities",Twitter for BlackBerryÂ®
6/19/12 13:57,215080842840649728,"Washington, DC",amy_liuw,"Look fwd to talking w/ Miami area mayors at #globalcities forum @univmiami to unleash area's many int'l assets to further globalize, prosper",Twitter for BlackBerryÂ®
6/19/12 14:06,215083255903432704,"Washington, DC",amy_liuw,RT@BrookingsInst: Change in #immigration policy for undocumented youth could pave way 4 permanent reform http://t.co/8DbTIiAE #globalcities,Twitter for BlackBerryÂ®
6/19/12 14:23,215087434990497792,"Washington, DC",amy_liuw,"One tip from LA #exports plan: deploy MBA students to help SMEs export; students r on avg 32 yrs old, have 7 yrs work exp #globalcities",Twitter for BlackBerryÂ®
6/22/12 15:26,216190341521485826,"Washington, DC",amy_liuw,"Former governor and ambassador @JonHuntsman joins @BrookingsInst as a new distinguished fellow, joining fmr Gov Rendell http://t.co/kAop8KGU",Twitter for BlackBerryÂ®
6/22/12 15:41,216194208795607040,"Washington, DC",amy_liuw,"For cities dependent on defense $, beware: new NAM rpt predicts Pentagon cuts will lead to loss of 1m jobs, 130k in mfg http://t.co/nMpfD5fY",web
6/29/12 15:26,218727167939444736,"Washington, DC",amy_liuw,"Busy wk @BrookingsMetro! See opinions on SCOTUS/Obama &amp; immig, fed transport bill passage, new metro data map on econ http://t.co/n6Z9xPIM",web
6/29/12 17:02,218751302811914241,"Washington, DC",amy_liuw,NOLA ranks #1 in pop growth rate &amp; rate faster than suburbs per Census; rebirth continues http://t.co/ybEZaoF9 @allisonplyer @MayorLandrieu,web
7/2/12 22:39,219923339718823936,"Washington, DC",amy_liuw,"SOS! warm beer will taste like ""nail polish"" RT @postlocal @PortCityBrew scrambles 2 save their beer amid power outage http://t.co/kloZsW5a",Twitter for BlackBerryÂ®
7/2/12 22:58,219928050249367552,"Washington, DC",amy_liuw,"As leaders cater to SMEs for job growth, @ITIFdc Atkinson argues it's big firms that innovate, offer good pay &amp; benefits ttp://bit.ly/KZWNHP",web
7/6/12 18:53,221316000677756928,"Washington, DC",amy_liuw,"Funds from federal BP fines will pay for restoration &amp; protection of Gulf Coast, an unfinished act following #Katrina http://t.co/c1lPYjIq",web
6/8/12 16:36,211134656387624960,"Houston, TX",anniseparker,Summer's here. Thanks Reliant ($ for air conditioners for indigent seniors &amp; opening cooling centers) &amp; Carpenters union (AC installation)-a,Twitter for BlackBerryÂ®
6/10/12 1:43,211634678506078208,"Houston, TX",anniseparker,Field trip! Watching roller derby with my office staff.  Go Houston.-a,Twitter for BlackBerryÂ®
6/15/12 16:32,213670214443864064,"Houston, TX",anniseparker,#greenlink is rolling. Ride it! Free weekday circulator bus powered by natural gas. One of new initiatives transforming downtown Houston.-a,Twitter for BlackBerryÂ®
6/17/12 22:13,214480947201048576,"Houston, TX",anniseparker,"Missing my dad and granddad a lot on Fathers Day. They were good men, and loving fathers. Any grace under pressure I have they taught me.-a",Twitter for BlackBerryÂ®
6/19/12 0:23,214876093839192064,"Houston, TX",anniseparker,@Slop44 It is beautiful.-a,Twitter for BlackBerryÂ®
6/19/12 3:13,214918892668190720,"Houston, TX",anniseparker,@gnormanKHOU Don't know what color it is tonight. Will be purple or rainbow colors for pride parade. They may have already set those colors.,Twitter for BlackBerryÂ®
6/19/12 17:36,215135858460856321,"Houston, TX",anniseparker,Celebrating Juneteenth at Emancipation Park by announcing 3 major gifts in our capital campaign to renovate this historic city park. Yeah!-a,Twitter for BlackBerryÂ®
6/20/12 1:18,215252191890509824,"Houston, TX",anniseparker,"@gnormanKHOU Final answer: in honor of Pride week they are rotating the seven rainbow colors each night, so it depends on when you look.-a",Twitter for BlackBerryÂ®
6/20/12 1:24,215253653697732610,"Houston, TX",anniseparker,"Argh! Great tomato/okra crops, but cantaloupes not pollinated so only had one. Watched it for days...almost ready...those damn squirrels!-a",Twitter for BlackBerryÂ®
6/20/12 23:58,215594512968454144,"Houston, TX",anniseparker,@xtinagorczynski Wow! Great idea. But just leaving city hall -- too tired.,Twitter for BlackBerryÂ®
6/21/12 0:02,215595502362836992,"Houston, TX",anniseparker,@KuchezaNgoma Enjoyed the dance. High energy!-a,Twitter for BlackBerryÂ®
6/24/12 2:35,216721135725838336,"Houston, TX",anniseparker,"I wish all Pride Parade participants a fun, safe and empowering evening! Enjoy the rainbow lights on City Hall.-a",Twitter for BlackBerryÂ®
6/24/12 3:56,216741599307235329,"Houston, TX",anniseparker,@mike_hemminger Thanks!-a,Twitter for BlackBerryÂ®
6/24/12 23:38,217038965994291200,"Houston, TX",anniseparker,@LisaScafPerthLM thanks!,Twitter for BlackBerryÂ®
6/25/12 17:24,217307233392926721,"Houston, TX",anniseparker,Started our new polystyrene (styrofoam) compactor at our Westpark recycling center! Now a place to drop off that bulky molded packaging.-a,Twitter for BlackBerryÂ®
6/29/12 2:23,218530167402938369,"Houston, TX",anniseparker,"Thanks to Janice, Jessica &amp; Justin (my communications team) for the honor of winning the CEO Communicator of the Year award from the PRSA.-a",Twitter for BlackBerryÂ®
6/29/12 20:21,218801329047486466,"Houston, TX",anniseparker,"We knew this! Houston is one of the best cities for business, careers in US says @Forbes. We regularly generate good nat'l news coverage.-a",Twitter for BlackBerryÂ®
7/4/12 15:47,220544259907006467,"Houston, TX",anniseparker,Too many parades at same starting time! Enjoyed Southbelt/Ellington this year. Glad to see so many folks celebrating our independence!-a,Twitter for BlackBerryÂ®
7/6/12 19:00,221317664713351169,"Houston, TX",anniseparker,@JasonMKates For a family reunion for 100 at a city park you'd get a permit. Why wouldn't you also get one to feed 100 homeless there?-a,Twitter for BlackBerryÂ®
7/9/12 15:27,222351192116822018,"Houston, TX",anniseparker,"Glad to welcome NAACP to Houston, celebrating 103 years of civil rights leadership. Still fighting old problems and new challenges.-a",Twitter for BlackBerryÂ®
